,Unnamed: 0,cust_id,total_spend,total_visit,avg_weekly_visit,avg_weekly_spend,avg_basket_size,total_quantity,cluster
0,0,CUST0000583261,529.38,23.0,1.0952380952380951,25.208571428571428,23.01652173913044,282,2
1,1,CUST0000537317,1805.39,153.0,1.7790697674418603,20.992906976744184,11.799934640522876,1280,1
2,2,CUST0000472158,3600.86,392.0,3.408695652173913,31.31182608695652,9.185867346938776,3060,1
3,3,CUST0000099658,4874.18,284.0,2.5357142857142856,43.51946428571429,17.16260563380282,3832,1
4,4,CUST0000128681,455.28,24.0,1.1428571428571428,21.68,18.97,280,2
5,5,CUST0000961918,1856.47,75.0,1.3636363636363635,33.754,24.75293333333333,1197,2
6,6,CUST0000704959,1771.59,58.0,1.0943396226415094,33.42622641509434,30.544655172413798,1764,2
7,7,CUST0000809769,3407.55,173.0,1.7653061224489797,34.770918367346944,19.69682080924856,2733,1
8,8,CUST0000135397,3624.99,125.0,1.4204545454545454,41.19306818181818,28.99992,2564,1
9,9,CUST0000361812,4260.21,109.0,1.3625,53.252625,39.084495412844035,2254,1
10,10,CUST0000372422,7183.85,423.0,3.7767857142857135,64.14151785714286,16.983096926713948,4532,1
11,11,CUST0000605493,3604.36,122.0,1.2708333333333333,37.545416666666654,29.543934426229505,3059,1
12,12,CUST0000898638,1182.21,130.0,1.7567567567567568,15.975810810810811,9.093923076923078,1495,1
13,13,CUST0000133531,659.6600000000002,88.0,3.8260869565217392,28.6808695652174,7.4961363636363645,427,1
14,14,CUST0000863429,182.46000000000004,9.0,1.0,20.273333333333333,20.273333333333333,146,0
15,15,CUST0000661427,2278.79,190.0,1.7757009345794392,21.29710280373832,11.993631578947367,1635,1
16,16,CUST0000576800,3199.75,308.0,2.655172413793104,27.584051724137932,10.388798701298699,2930,1
17,17,CUST0000161411,2344.96,117.0,1.3,26.055111111111113,20.042393162393164,1463,1
18,18,CUST0000402352,512.03,20.0,1.1111111111111112,28.44611111111111,25.6015,317,2
19,19,CUST0000985195,1896.65,65.0,1.015625,29.63515625,29.17923076923077,1794,2
20,20,CUST0000540040,5883.450000000002,564.0,4.947368421052632,51.60921052631579,10.431648936170212,4049,1
21,21,CUST0000467543,3061.7200000000007,252.0,2.2105263157894743,26.85719298245614,12.149682539682539,3971,1
22,22,CUST0000836210,2740.57,113.0,1.5694444444444444,38.06347222222222,24.252831858407077,2303,1
23,23,CUST0000280656,1188.06,200.0,2.1978021978021984,13.055604395604394,5.9403,1006,1
24,24,CUST0000068394,2833.06,344.0,3.017543859649123,24.85140350877193,8.23563953488372,1955,1
25,25,CUST0000403088,2182.05,107.0,1.4861111111111112,30.306249999999995,20.392990654205605,1991,1
26,26,CUST0000410483,1855.95,103.0,1.3733333333333333,24.746,18.018932038834947,1034,2
27,27,CUST0000167190,2219.07,62.0,1.1071428571428572,39.62625000000001,35.79145161290323,1343,2
28,28,CUST0000107193,934.2,111.0,1.018348623853211,8.570642201834861,8.416216216216215,931,0
29,29,CUST0000696111,3323.11,247.0,2.42156862745098,32.57950980392157,13.453886639676115,3017,1
30,30,CUST0000585617,1054.0300000000002,118.0,1.8153846153846156,16.215846153846158,8.932457627118646,1277,1
31,31,CUST0000603024,3357.5,347.0,3.18348623853211,30.80275229357798,9.675792507204608,2244,1
32,32,CUST0000743591,12.39,1.0,1.0,12.39,12.39,12,0
33,33,CUST0000420363,8281.66,335.0,2.9646017699115044,73.28902654867257,24.72137313432836,6362,1
34,34,CUST0000845375,902.87,126.0,1.6363636363636365,11.725584415584414,7.165634920634921,543,0
35,35,CUST0000638798,1235.93,64.0,1.6842105263157894,32.52447368421053,19.31140625,977,2
36,36,CUST0000506810,852.94,31.0,1.2916666666666667,35.53916666666667,27.514193548387095,623,2
37,37,CUST0000851524,744.47,47.0,1.146341463414634,18.157804878048786,15.839787234042554,549,0
38,38,CUST0000398965,1150.19,178.0,2.144578313253012,13.857710843373495,6.4617415730337076,827,1
39,39,CUST0000094339,3424.890000000001,132.0,1.32,34.248900000000006,25.94613636363637,2454,1
40,40,CUST0000549670,41.01000000000001,5.0,1.25,10.2525,8.202000000000002,26,0
41,41,CUST0000147574,2324.46,103.0,1.391891891891892,31.411621621621624,22.567572815533985,1675,1
42,42,CUST0000192207,139.02000000000004,5.0,1.0,27.80400000000001,27.80400000000001,98,2
43,43,CUST0000788454,1341.37,61.0,1.1730769230769231,25.795576923076922,21.989672131147536,898,2
44,44,CUST0000077225,1566.81,67.0,1.1754385964912282,27.487894736842108,23.38522388059701,1482,2
45,45,CUST0000923296,6031.53,168.0,1.6470588235294117,59.13264705882353,35.901964285714286,4304,1
46,46,CUST0000820750,5020.85,624.0,5.333333333333333,42.91324786324787,8.046233974358975,3925,1
47,47,CUST0000670321,75.44,3.0,1.0,25.146666666666665,25.146666666666665,48,2
48,48,CUST0000992085,662.5899999999998,42.0,1.5,23.66392857142857,15.77595238095238,336,2
49,49,CUST0000341004,1005.37,50.0,1.0416666666666667,20.945208333333326,20.1074,627,2
50,50,CUST0000425522,225.04,24.0,1.0434782608695652,9.784347826086957,9.376666666666663,182,0
51,51,CUST0000948675,9.75,2.0,1.0,4.875,4.875,5,0
52,52,CUST0000679573,208.55,9.0,1.0,23.172222222222228,23.172222222222228,142,2
53,53,CUST0000173993,4524.25,208.0,1.8909090909090909,41.12954545454546,21.751201923076927,3164,1
54,54,CUST0000469228,771.0400000000002,23.0,1.2777777777777777,42.835555555555565,33.52347826086957,575,2
55,55,CUST0000118502,567.7,22.0,1.1578947368421053,29.878947368421056,25.80454545454546,345,2
56,56,CUST0000145600,66.92999999999999,7.0,1.0,9.561428571428571,9.561428571428571,29,0
57,57,CUST0000885717,2050.53,61.0,1.22,41.0106,33.615245901639355,1616,2
58,58,CUST0000256627,2709.83,263.0,2.4811320754716983,25.564433962264147,10.303536121673003,1965,1
59,59,CUST0000978405,2094.86,151.0,1.8641975308641976,25.86246913580247,13.873245033112585,2228,1
60,60,CUST0000634688,1075.52,86.0,1.2647058823529411,15.816470588235294,12.506046511627908,803,0
61,61,CUST0000176246,92.32,1.0,1.0,92.32,92.32,56,2
62,62,CUST0000550825,1971.91,71.0,1.2033898305084745,33.422203389830514,27.77338028169014,1648,2
63,63,CUST0000800372,258.28000000000003,25.0,1.3157894736842106,13.593684210526318,10.3312,197,0
64,64,CUST0000503338,747.5200000000002,23.0,1.0952380952380951,35.59619047619048,32.50086956521739,509,2
65,65,CUST0000092593,50.41,4.0,1.0,12.6025,12.6025,34,0
66,66,CUST0000916905,1377.11,64.0,1.1034482758620692,23.743275862068963,21.51734375,824,2
67,67,CUST0000292858,454.13,28.0,1.0,16.21892857142857,16.21892857142857,331,0
68,68,CUST0000111873,2609.62,146.0,1.5698924731182795,28.06043010752688,17.874109589041094,1481,1
69,69,CUST0000575612,1631.42,63.0,1.3125,33.98791666666667,25.895555555555557,1578,2
70,70,CUST0000701067,459.79000000000013,183.0,1.7264150943396226,4.337641509433963,2.512513661202186,560,0
71,71,CUST0000361701,1761.2199999999998,158.0,1.6122448979591837,17.971632653061217,11.146962025316459,1319,1
72,72,CUST0000568678,1688.52,92.0,1.2777777777777777,23.45166666666667,18.35347826086957,1045,2
73,73,CUST0000736244,338.92999999999995,38.0,1.0857142857142856,9.683714285714283,8.919210526315789,242,0
74,74,CUST0000202661,536.02,77.0,1.2622950819672132,8.787213114754097,6.961298701298702,493,0
75,75,CUST0000765119,622.2799999999999,38.0,1.3571428571428572,22.224285714285713,16.375789473684208,316,2
76,76,CUST0000557293,542.3800000000001,71.0,1.42,10.847600000000002,7.639154929577466,382,0
77,77,CUST0000649717,958.63,35.0,1.0,27.38942857142857,27.38942857142857,636,2
78,78,CUST0000830944,363.66,11.0,1.5714285714285714,51.951428571428565,33.059999999999995,281,2
79,79,CUST0000625521,437.07000000000005,132.0,1.6296296296296295,5.395925925925926,3.3111363636363635,329,0
80,80,CUST0000906997,1134.99,25.0,1.1363636363636365,51.59045454545455,45.3996,744,2
81,81,CUST0000185462,454.82,19.0,1.1875,28.42625,23.937894736842107,304,2
82,82,CUST0000100647,168.09,13.0,1.181818181818182,15.280909090909093,12.93,104,0
83,83,CUST0000530259,106.4,7.0,1.0,15.2,15.2,85,0
84,84,CUST0000312411,2510.18,90.0,1.2857142857142858,35.85971428571428,27.890888888888888,2016,1
85,85,CUST0000655437,0.8500000000000001,1.0,1.0,0.8500000000000001,0.8500000000000001,2,0
86,86,CUST0000957189,3351.05,260.0,2.321428571428572,29.920089285714287,12.888653846153849,2739,1
87,87,CUST0000609540,911.92,73.0,1.4038461538461535,17.536923076923078,12.492054794520547,572,0
88,88,CUST0000275967,3797.31,127.0,1.1759259259259258,35.160277777777765,29.900078740157475,3206,1
89,89,CUST0000293743,692.01,99.0,1.546875,10.81265625,6.99,748,0
90,90,CUST0000680463,3.43,2.0,1.0,1.715,1.715,6,0
91,91,CUST0000392659,3.5700000000000003,2.0,1.0,1.785,1.785,6,0
92,92,CUST0000565459,4073.37,215.0,1.8695652173913044,35.42060869565217,18.945906976744187,5059,1
93,93,CUST0000665507,628.02,15.0,1.0714285714285714,44.85857142857144,41.868,379,2
94,94,CUST0000306181,402.99,11.0,1.1,40.299,36.63545454545454,271,2
95,95,CUST0000184646,1286.4900000000002,81.0,1.3965517241379308,22.18086206896552,15.882592592592594,1319,2
96,96,CUST0000925425,1104.48,20.0,1.0,55.224,55.224,904,2
97,97,CUST0000461850,4523.18,248.0,2.2962962962962963,41.8812962962963,18.238629032258068,3197,1
98,98,CUST0000200767,1310.61,244.0,2.5957446808510642,13.942659574468086,5.371352459016394,1009,1
99,99,CUST0000863326,1142.7900000000004,109.0,1.4931506849315068,15.654657534246578,10.484311926605509,908,0
100,100,CUST0000100599,2140.29,83.0,1.2769230769230768,32.92753846153846,25.786626506024092,1533,2
101,101,CUST0000644893,3726.78,154.0,1.54,37.2678,24.199870129870128,4009,1
102,102,CUST0000527918,2363.35,49.0,1.1395348837209305,54.96162790697674,48.23163265306122,1815,2
103,103,CUST0000963229,1168.17,41.0,1.1388888888888888,32.44916666666667,28.491951219512195,785,2
104,104,CUST0000997122,3961.74,188.0,1.7735849056603774,37.37490566037736,21.073085106382976,3968,1
105,105,CUST0000136043,3811.3,131.0,1.2843137254901962,37.36568627450981,29.093893129770994,4339,1
106,106,CUST0000246027,96.04,13.0,1.3,9.604,7.387692307692308,87,0
107,107,CUST0000605738,491.22,16.0,1.0,30.70125,30.70125,514,2
108,108,CUST0000511022,1172.2799999999995,95.0,1.637931034482759,20.211724137931032,12.339789473684206,781,2
109,109,CUST0000431111,52.57000000000001,15.0,1.25,4.380833333333333,3.504666666666667,69,0
110,110,CUST0000999024,807.8899999999999,37.0,1.15625,25.2465625,21.834864864864866,823,2
111,111,CUST0000720862,1423.87,86.0,1.2285714285714286,20.341,16.556627906976747,966,2
112,112,CUST0000869224,101.93,5.0,1.0,20.386000000000006,20.386000000000006,89,0
113,113,CUST0000132570,1089.19,50.0,1.3888888888888888,30.25527777777777,21.7838,895,2
114,114,CUST0000688682,361.13,18.0,1.0,20.062777777777782,20.062777777777782,333,2
115,115,CUST0000999935,444.17000000000013,21.0,1.1052631578947372,23.37736842105264,21.150952380952386,343,2
116,116,CUST0000584803,814.38,78.0,2.689655172413793,28.08206896551724,10.44076923076923,686,1
117,117,CUST0000352929,370.53,51.0,1.108695652173913,8.055,7.265294117647057,330,0
118,118,CUST0000987141,387.36,50.0,1.3157894736842106,10.193684210526316,7.7472,436,0
119,119,CUST0000830687,352.47,25.0,1.0869565217391304,15.324782608695653,14.0988,234,0
120,120,CUST0000738459,279.11,16.0,1.1428571428571428,19.93642857142857,17.444375,226,0
121,121,CUST0000287611,256.53,8.0,1.0,32.06625,32.06625,157,2
122,122,CUST0000167145,14.13,1.0,1.0,14.13,14.13,10,0
123,123,CUST0000434013,620.88,130.0,1.3829787234042554,6.605106382978724,4.776,598,0
124,124,CUST0000503950,305.93999999999994,42.0,1.2,8.741142857142856,7.284285714285714,255,0
125,125,CUST0000345218,80.7,1.0,1.0,80.7,80.7,53,2
126,126,CUST0000836803,819.6399999999999,18.0,1.125,51.22749999999999,45.53555555555555,687,2
127,127,CUST0000510974,213.86,19.0,1.1176470588235294,12.58,11.255789473684214,167,0
128,128,CUST0000049077,2033.88,93.0,1.2916666666666667,28.24833333333333,21.86967741935484,1364,2
129,129,CUST0000144953,1879.02,69.0,1.0454545454545454,28.47,27.23217391304348,1826,2
130,130,CUST0000314122,290.43,12.0,1.2,29.043000000000003,24.2025,199,2
131,131,CUST0000297515,599.03,24.0,1.0,24.95958333333333,24.95958333333333,349,2
132,132,CUST0000944007,1894.38,289.0,2.9489795918367347,19.33040816326531,6.554948096885814,1694,1
133,133,CUST0000328079,246.17,6.0,1.0,41.028333333333336,41.028333333333336,298,2
134,134,CUST0000886802,258.38,9.0,1.0,28.70888888888889,28.70888888888889,177,2
135,135,CUST0000401834,279.82,27.0,1.0384615384615383,10.762307692307694,10.363703703703703,152,0
136,136,CUST0000762817,2439.37,68.0,1.1724137931034482,42.05810344827586,35.87308823529412,2020,1
137,137,CUST0000140340,155.33,15.0,1.0714285714285714,11.095,10.355333333333334,99,0
138,138,CUST0000464579,639.84,22.0,1.1,31.991999999999997,29.08363636363637,529,2
