,cust_id,total_spend,total_visit,avg_weekly_visit,avg_weekly_spend,avg_basket_size,total_quantity
0,CUST0000583261,529.38,23.0,1.0952380952380953,25.208571428571428,23.016521739130436,282
1,CUST0000537317,1805.3899999999999,153.0,1.7790697674418605,20.992906976744184,11.799934640522874,1280
2,CUST0000472158,3600.8599999999997,392.0,3.408695652173913,31.31182608695652,9.185867346938775,3060
3,CUST0000099658,4874.18,284.0,2.5357142857142856,43.519464285714285,17.16260563380282,3832
4,CUST0000128681,455.28,24.0,1.1428571428571428,21.68,18.97,280
5,CUST0000961918,1856.4699999999998,75.0,1.3636363636363635,33.754,24.75293333333333,1197
6,CUST0000704959,1771.5900000000001,58.0,1.0943396226415094,33.42622641509434,30.544655172413794,1764
7,CUST0000809769,3407.55,173.0,1.7653061224489797,34.770918367346944,19.696820809248557,2733
8,CUST0000135397,3624.99,125.0,1.4204545454545454,41.19306818181818,28.99992,2564
9,CUST0000361812,4260.21,109.0,1.3625,53.252625,39.084495412844035,2254
10,CUST0000372422,7183.85,423.0,3.7767857142857144,64.14151785714286,16.983096926713948,4532
11,CUST0000605493,3604.3599999999997,122.0,1.2708333333333333,37.54541666666666,29.543934426229505,3059
12,CUST0000898638,1182.21,130.0,1.7567567567567568,15.975810810810811,9.093923076923078,1495
13,CUST0000133531,659.6600000000001,88.0,3.8260869565217392,28.680869565217396,7.4961363636363645,427
14,CUST0000863429,182.46000000000004,9.0,1.0,20.273333333333337,20.273333333333337,146
15,CUST0000661427,2278.79,190.0,1.7757009345794392,21.297102803738316,11.993631578947369,1635
16,CUST0000576800,3199.75,308.0,2.6551724137931036,27.584051724137932,10.3887987012987,2930
17,CUST0000161411,2344.96,117.0,1.3,26.05511111111111,20.042393162393164,1463
18,CUST0000402352,512.03,20.0,1.1111111111111112,28.446111111111108,25.601499999999998,317
19,CUST0000985195,1896.65,65.0,1.015625,29.63515625,29.17923076923077,1794
20,CUST0000540040,5883.450000000001,564.0,4.947368421052632,51.6092105263158,10.431648936170214,4049
